key,value,is_todo,provenance
sync_lag.rows[0].total,120,0,for consecutive paper-commit pairs (last 15): git rev-list --count prev..curr and same with ':(exclude)paper' ':(exclude)docs/gpu-engine/paper.md' ':(exclude)docs/research-paper-plan.md' ':(exclude)docs/paper-ablation-plan.md'. UPPER BOUND: a commit touching both paper and code counts as non-paper.
sync_lag.rows[0].nonpaper,117,0,for consecutive paper-commit pairs (last 15): git rev-list --count prev..curr and same with ':(exclude)paper' ':(exclude)docs/gpu-engine/paper.md' ':(exclude)docs/research-paper-plan.md' ':(exclude)docs/paper-ablation-plan.md'. UPPER BOUND: a commit touching both paper and code counts as non-paper.
sync_lag.rows[1].curr_date,2026-07-25,0,for consecutive paper-commit pairs (last 15): git rev-list --count prev..curr and same with ':(exclude)paper' ':(exclude)docs/gpu-engine/paper.md' ':(exclude)docs/research-paper-plan.md' ':(exclude)docs/paper-ablation-plan.md'. UPPER BOUND: a commit touching both paper and code counts as non-paper.
sync_lag.rows[1].curr,05c3e08,0,for consecutive paper-commit pairs (last 15): git rev-list --count prev..curr and same with ':(exclude)paper' ':(exclude)docs/gpu-engine/paper.md' ':(exclude)docs/research-paper-plan.md' ':(exclude)docs/paper-ablation-plan.md'. UPPER BOUND: a commit touching both paper and code counts as non-paper.
sync_lag.rows[1].prev,072f235,0,for consecutive paper-commit pairs (last 15): git rev-list --count prev..curr and same with ':(exclude)paper' ':(exclude)docs/gpu-engine/paper.md' ':(exclude)docs/research-paper-plan.md' ':(exclude)docs/paper-ablation-plan.md'. UPPER BOUND: a commit touching both paper and code counts as non-paper.
sync_lag.rows[1].total,14,0,for consecutive paper-commit pairs (last 15): git rev-list --count prev..curr and same with ':(exclude)paper' ':(exclude)docs/gpu-engine/paper.md' ':(exclude)docs/research-paper-plan.md' ':(exclude)docs/paper-ablation-plan.md'. UPPER BOUND: a commit touching both paper and code counts as non-paper.
sync_lag.rows[1].nonpaper,14,0,for consecutive paper-commit pairs (last 15): git rev-list --count prev..curr and same with ':(exclude)paper' ':(exclude)docs/gpu-engine/paper.md' ':(exclude)docs/research-paper-plan.md' ':(exclude)docs/paper-ablation-plan.md'. UPPER BOUND: a commit touching both paper and code counts as non-paper.
sync_lag.rows[2].curr_date,2026-07-24,0,for consecutive paper-commit pairs (last 15): git rev-list --count prev..curr and same with ':(exclude)paper' ':(exclude)docs/gpu-engine/paper.md' ':(exclude)docs/research-paper-plan.md' ':(exclude)docs/paper-ablation-plan.md'. UPPER BOUND: a commit touching both paper and code counts as non-paper.
sync_lag.rows[2].curr,f915821,0,for consecutive paper-commit pairs (last 15): git rev-list --count prev..curr and same with ':(exclude)paper' ':(exclude)docs/gpu-engine/paper.md' ':(exclude)docs/research-paper-plan.md' ':(exclude)docs/paper-ablation-plan.md'. UPPER BOUND: a commit touching both paper and code counts as non-paper.
sync_lag.rows[2].prev,8a615fb,0,for consecutive paper-commit pairs (last 15): git rev-list --count prev..curr and same with ':(exclude)paper' ':(exclude)docs/gpu-engine/paper.md' ':(exclude)docs/research-paper-plan.md' ':(exclude)docs/paper-ablation-plan.md'. UPPER BOUND: a commit touching both paper and code counts as non-paper.
sync_lag.rows[2].total,30,0,for consecutive paper-commit pairs (last 15): git rev-list --count prev..curr and same with ':(exclude)paper' ':(exclude)docs/gpu-engine/paper.md' ':(exclude)docs/research-paper-plan.md' ':(exclude)docs/paper-ablation-plan.md'. UPPER BOUND: a commit touching both paper and code counts as non-paper.
sync_lag.rows[2].nonpaper,29,0,for consecutive paper-commit pairs (last 15): git rev-list --count prev..curr and same with ':(exclude)paper' ':(exclude)docs/gpu-engine/paper.md' ':(exclude)docs/research-paper-plan.md' ':(exclude)docs/paper-ablation-plan.md'. UPPER BOUND: a commit touching both paper and code counts as non-paper.
sync_lag.rows[3].curr_date,2026-07-23,0,for consecutive paper-commit pairs (last 15): git rev-list --count prev..curr and same with ':(exclude)paper' ':(exclude)docs/gpu-engine/paper.md' ':(exclude)docs/research-paper-plan.md' ':(exclude)docs/paper-ablation-plan.md'. UPPER BOUND: a commit touching both paper and code counts as non-paper.
sync_lag.rows[3].curr,14c8563,0,for consecutive paper-commit pairs (last 15): git rev-list --count prev..curr and same with ':(exclude)paper' ':(exclude)docs/gpu-engine/paper.md' ':(exclude)docs/research-paper-plan.md' ':(exclude)docs/paper-ablation-plan.md'. UPPER BOUND: a commit touching both paper and code counts as non-paper.
sync_lag.rows[3].prev,946855c,0,for consecutive paper-commit pairs (last 15): git rev-list --count prev..curr and same with ':(exclude)paper' ':(exclude)docs/gpu-engine/paper.md' ':(exclude)docs/research-paper-plan.md' ':(exclude)docs/paper-ablation-plan.md'. UPPER BOUND: a commit touching both paper and code counts as non-paper.
sync_lag.rows[3].total,38,0,for consecutive paper-commit pairs (last 15): git rev-list --count prev..curr and same with ':(exclude)paper' ':(exclude)docs/gpu-engine/paper.md' ':(exclude)docs/research-paper-plan.md' ':(exclude)docs/paper-ablation-plan.md'. UPPER BOUND: a commit touching both paper and code counts as non-paper.
sync_lag.rows[3].nonpaper,33,0,for consecutive paper-commit pairs (last 15): git rev-list --count prev..curr and same with ':(exclude)paper' ':(exclude)docs/gpu-engine/paper.md' ':(exclude)docs/research-paper-plan.md' ':(exclude)docs/paper-ablation-plan.md'. UPPER BOUND: a commit touching both paper and code counts as non-paper.
sync_lag.rows[4].curr_date,2026-07-02,0,for consecutive paper-commit pairs (last 15): git rev-list --count prev..curr and same with ':(exclude)paper' ':(exclude)docs/gpu-engine/paper.md' ':(exclude)docs/research-paper-plan.md' ':(exclude)docs/paper-ablation-plan.md'. UPPER BOUND: a commit touching both paper and code counts as non-paper.
sync_lag.rows[4].curr,946855c,0,for consecutive paper-commit pairs (last 15): git rev-list --count prev..curr and same with ':(exclude)paper' ':(exclude)docs/gpu-engine/paper.md' ':(exclude)docs/research-paper-plan.md' ':(exclude)docs/paper-ablation-plan.md'. UPPER BOUND: a commit touching both paper and code counts as non-paper.
sync_lag.rows[4].prev,6a72bb1,0,for consecutive paper-commit pairs (last 15): git rev-list --count prev..curr and same with ':(exclude)paper' ':(exclude)docs/gpu-engine/paper.md' ':(exclude)docs/research-paper-plan.md' ':(exclude)docs/paper-ablation-plan.md'. UPPER BOUND: a commit touching both paper and code counts as non-paper.
sync_lag.rows[4].total,15,0,for consecutive paper-commit pairs (last 15): git rev-list --count prev..curr and same with ':(exclude)paper' ':(exclude)docs/gpu-engine/paper.md' ':(exclude)docs/research-paper-plan.md' ':(exclude)docs/paper-ablation-plan.md'. UPPER BOUND: a commit touching both paper and code counts as non-paper.
sync_lag.rows[4].nonpaper,11,0,for consecutive paper-commit pairs (last 15): git rev-list --count prev..curr and same with ':(exclude)paper' ':(exclude)docs/gpu-engine/paper.md' ':(exclude)docs/research-paper-plan.md' ':(exclude)docs/paper-ablation-plan.md'. UPPER BOUND: a commit touching both paper and code counts as non-paper.
plan_docs.research_paper_plan_lines,408,0,wc -l on gerbil docs/research-paper-plan.md and docs/paper-ablation-plan.md; grep '^| ' with 'arXiv:' / -i 'repo only' over plan table rows
plan_docs.ablation_plan_lines,191,0,wc -l on gerbil docs/research-paper-plan.md and docs/paper-ablation-plan.md; grep '^| ' with 'arXiv:' / -i 'repo only' over plan table rows
plan_docs.plan_table_rows,80,0,wc -l on gerbil docs/research-paper-plan.md and docs/paper-ablation-plan.md; grep '^| ' with 'arXiv:' / -i 'repo only' over plan table rows
plan_docs.plan_arxiv_cited_rows,41,0,wc -l on gerbil docs/research-paper-plan.md and docs/paper-ablation-plan.md; grep '^| ' with 'arXiv:' / -i 'repo only' over plan table rows
plan_docs.plan_repo_only_rows,12,0,wc -l on gerbil docs/research-paper-plan.md and docs/paper-ablation-plan.md; grep '^| ' with 'arXiv:' / -i 'repo only' over plan table rows
this_paper.pipeline_run,"first end-to-end essaymaster run (mine -> plan -> scaffold -> data -> figures -> draft -> build), executed by a Claude Code agent 2026-08-25",0,"this session; the 7 = Knuth 1984, Olah 2017, Kluyver 2016, Lethbridge 2003, SWE-agent, SWE-bench, AI Scientist (web-verified 2026-08-25); remaining refs.bib entries are repo/site-only by design"
this_paper.citations_verified_this_session,7,0,"this session; the 7 = Knuth 1984, Olah 2017, Kluyver 2016, Lethbridge 2003, SWE-agent, SWE-bench, AI Scientist (web-verified 2026-08-25); remaining refs.bib entries are repo/site-only by design"
